user_id,book_id,rating
133994,85171,2
163844,53558,7
34687,17611,3
41660,27215,8
125232,61740,1
200434,60245,7
61099,62605,6
234651,21104,3
62471,49881,6
172066,664,8
134359,18513,3
204637,16442,9
45777,3942,7
146727,33342,3
242022,6932,1
190028,53483,1
241409,31891,10
72546,5505,6
243327,18615,8
42760,10827,7
29631,76788,5
123949,38711,1
239726,65466,4
275963,35217,5
208665,31818,6
222698,28156,6
277680,69297,3
150438,68872,10
76083,10583,8
260710,31131,0
107587,79914,10
225229,35827,4
161763,67986,1
108148,63655,3
233254,11947,5
222354,64697,8
255695,54365,6
35307,14949,2
184089,81918,5
6050,45140,1
228006,36651,4
139204,19211,0
185605,78588,0
121291,11794,5
246316,77255,9
245418,75813,4
211906,74561,1
459,60147,10
126256,41515,6
84189,28194,10
137070,3061,10
166499,81523,8
40033,39365,10
220948,28261,6
127642,38824,1
81551,59694,10
189223,5711,2
205738,41727,0
229146,80038,4
905,77419,6
109997,10115,9
133902,77109,3
256118,13030,4
199521,63598,10
232015,59848,5
56660,77036,3
272374,22446,10
24561,55213,1
184107,47879,9
255165,38192,9
140427,65487,4
126992,51013,0
168581,14357,8
256978,6669,7
5565,29377,5
88991,39621,9
99670,51760,2
37635,79500,0
122176,16920,8
238187,19551,3
103215,50192,7
86880,74345,10
78876,32950,8
17198,53877,0
96383,52371,9
131904,940,6
60054,10568,6
15871,15043,3
212591,7974,3
185380,80009,8
262488,62417,4
114440,20873,2
220713,80482,10
201407,42803,10
66041,38403,4
79739,25022,8
161908,83278,9
143342,16288,9
78927,69033,6
239042,28907,6
72797,69089,0
152737,12255,1
104631,36513,0
61577,83278,6
132923,6279,4
57091,16524,8
205848,15883,2
137682,11313,5
84498,18259,7
61185,39701,2
221592,41808,4
19805,28897,8
1331,6047,0
175387,66675,2
176322,26207,0
22539,76038,2
31079,68860,9
88314,68124,5
124505,27966,7
100723,63819,7
147663,79056,0
53969,26360,8
177916,78999,4
260557,60926,0
41095,75853,2
60537,76693,0
210263,40828,10
88801,35113,2
212926,34418,5
64302,2604,6
94283,11338,8
171865,45127,6
43139,412,1
240431,822,2
44784,41905,6
31718,6191,3
6818,50419,7
117267,31080,1
36218,73728,10
8978,27812,4
155120,24169,2
57365,45524,6
7648,30105,1
136597,37480,2
53005,48591,7
197138,2438,8
63634,20358,8
104601,22634,2
237486,26035,1
263676,2755,2
249105,55720,8
64340,66372,2
3836,587,5
257153,46500,2
34089,77117,2
193765,71108,2
124587,61542,5
236182,10970,6
270761,16516,9
276200,20401,10
221413,27349,2
176510,17588,9
188370,57773,8
255929,13467,0
124457,12629,3
258991,32449,4
160976,69604,0
232775,43627,6
146800,41770,5
163137,84543,10
20091,52994,3
273859,61012,10
91947,16682,0
60993,49137,0
49259,69189,9
116785,73392,5
53916,22059,8
69509,31632,9
94397,47988,3
116544,56163,10
63136,23219,9
185526,7290,3
112881,36163,2
58929,53542,0
139660,67365,6
82182,49239,5
177973,30207,4
208460,4159,6
197554,6448,2
150732,9971,5
64580,67899,10
186353,51715,4
34790,63120,10
7064,56106,1
71218,24942,9
37198,12397,10
278054,41005,0
24641,73734,9
176808,29655,2
223900,73885,8
132202,15956,3
213314,13894,7
157505,69109,0
103446,61280,4
184908,42453,0
255888,70776,10
205157,6126,0
17127,5062,9
57724,57082,4
16902,83145,4
169188,52724,8
184660,53336,1
122639,47627,5
163608,2769,3
80239,36018,3
262373,16612,0
51886,83407,7
13816,19826,9
37079,31305,1
258946,25840,10
206839,56209,1
102395,19860,5
259912,83971,8
209958,75687,8
215314,3460,7
10568,21069,7
189295,54429,7
193706,20423,9
134477,49422,8
198923,63757,9
155754,4008,9
176914,8614,0
118879,4235,2
261294,58407,5
76458,64503,10
88701,52790,10
100587,61628,0
10062,28732,9
139747,31294,9
120671,37330,10
188913,56300,3
168567,23296,4
221889,41754,4
88382,30983,10
104697,17775,3
171224,18248,5
78573,32857,8
211135,61085,3
117541,83313,2
82998,5351,2
261769,64170,5
273266,43540,2
8163,82315,7
161502,17853,7
155076,45629,4
241567,60475,8
137864,53578,6
69629,44244,8
15893,82752,7
32234,52499,0
223561,81905,1
57705,38462,1
115873,37525,7
53469,19512,2
273058,13589,1
123646,16914,6
107548,33893,8
166865,75105,3
178574,24566,6
152140,15490,2
255860,27918,4
108684,58453,10
116607,28988,5
169346,26139,4
124186,1686,4
253519,25055,2
72364,7858,2
39532,76337,6
154922,15632,7
248803,15804,2
38993,69568,0
70600,11655,5
32913,48784,2
105653,58924,6
202915,22792,6
178968,2931,0
274019,17602,8
150058,21155,10
205684,38526,0
73905,23419,2
207733,876,7
63944,73338,8
78339,47423,0
109873,745,7
15952,10918,9
97418,59760,0
54991,71250,8
59319,38536,0
43089,27912,3
101204,26913,5
80337,69788,3
485,57781,4
31674,7195,2
130049,6131,1
151100,10185,8
100719,78435,4
195322,24727,10
121956,29802,10
223200,30346,4
7304,31494,10
260407,46095,2
4066,69784,1
201215,60225,0
186584,8315,3
169737,71585,5
193915,69442,9
224271,48311,4
664,83777,5
199294,72011,0
31301,11456,9
257607,70725,10
33054,24498,0
245663,37121,4
183642,33950,6
238796,29872,7
179284,63076,0
3684,51204,4
51545,50043,6
207551,20786,9
25060,62165,3
237579,72341,10
156388,14744,6
161926,84826,3
196914,41371,6
131482,53937,8
68281,61497,7
112487,31233,5
103485,58499,2
87231,10785,4
42616,83498,5
47385,72699,6
165389,79145,9
163137,35875,10
108445,12058,9
206703,65794,5
178508,32470,9
128485,6126,3
88037,65566,6
218997,19954,4
24378,33016,1
214763,51598,2
211078,50222,4
242679,13089,10
63183,80620,3
19431,3726,4
74843,63371,5
112519,51603,10
257307,3031,9
209748,15434,2
268789,1002,10
190590,62577,0
249228,30724,10
266649,35752,6
117407,66300,9
5485,5369,4
94430,42850,0
130723,21617,4
247954,40842,0
95625,65665,0
138494,1771,4
181641,33856,8
210340,69971,10
119461,83600,8
104974,65883,7
119699,60136,4
2445,26730,9
212405,85305,4
214368,35784,6
192493,84505,5
130731,42413,8
250639,47405,9
264943,73985,2
82078,24125,4
267016,25581,8
60686,38398,5
256711,17935,5
152015,66327,0
97796,56938,5
226074,65732,5
183917,67046,2
239514,28506,7
171411,53136,5
242807,31098,2
254286,51011,9
153617,55691,4
207183,26289,8
236777,52811,10
155448,49295,10
82023,54052,4
121089,47554,5
163452,75886,9
11449,84555,4
218272,55670,2
269119,25528,2
169399,37225,3
207153,2467,7
244590,82086,0
110751,17963,8
18366,5613,6
202344,19186,3
133765,84148,0
243711,56543,9
227767,49978,5
215276,18873,10
2177,5511,9
236909,74761,10
100004,83707,8
178891,55840,0
167523,11425,4
53090,84389,8
85569,34092,3
24056,34385,7
133207,82868,1
74181,9516,6
105498,40442,5
246613,57618,0
139738,33023,2
81270,76675,2
39662,11348,7
93589,76570,7
90542,33037,0
169450,7354,6
92183,42276,4
156372,74833,1
43219,46288,10
70195,52821,8
19266,51453,4
183555,77360,7
182969,77645,1
225477,65118,4
242212,71755,10
83581,85245,2
175171,81008,9
253716,15040,3
235974,76500,8
152760,12382,2
164861,68665,1
223091,79783,7
190755,2061,2
70391,21866,10
74216,58787,5
97966,65405,3
122449,75401,2
264288,5586,6
125532,3587,10
151905,8032,3
39972,40008,2
96262,83352,9
229956,17020,8
278686,8136,6
217749,49305,4
263499,8622,3
71860,3692,0
157346,31353,8
25573,55689,6
48934,31684,7
82795,72960,3
65471,35213,1
265989,13888,0
192701,3559,5
207571,40484,5
186253,49993,2
3898,17340,10
83539,4542,4
65656,79130,4
95903,29320,2
160006,35186,6
185359,74619,7
101459,39541,6
125738,73071,2
148753,49321,0
97440,35,8
271706,43331,5
105671,29267,2
137484,65854,3
265572,55022,7
53311,6983,0
227153,81528,10
210003,76408,5
171760,69052,4
151412,20766,4
132349,12104,0
237,18772,2
184728,83725,10
81931,56759,10
182157,4358,1
103592,20449,6
254993,30574,5
145694,19242,6
45237,12574,5
198880,63289,4
173275,9546,0
120028,85083,3
84951,8084,10
164125,77139,1
187149,77500,1
28956,19977,8
109891,14383,4
117609,22534,8
24911,12990,7
53166,65768,8
162,24748,8
256448,82619,10
68236,1349,1
11553,43732,6
51939,48763,7
40723,57645,9
176218,30991,5
106233,49374,1
89366,9450,8
1420,32700,9
260232,16452,2
166181,27583,10
245799,45561,6
127199,68072,10
176536,46522,7
98865,80069,2
205548,19740,4
198597,62866,8
267185,53170,8
219684,66581,0
69773,28867,9
109052,72243,8
113539,33701,2
8606,60987,4
45791,46986,3
159601,37117,4
180840,51750,4
115004,50848,9
89786,24828,6
130777,6670,0
55081,67112,6
172873,12691,8
102565,10654,9
127684,57058,3
109980,53476,10
222181,61391,8
131949,40533,0
76038,40470,6
119835,73669,8
6130,73268,6
141760,46686,5
148603,40195,2
117190,84262,10
88687,13393,3
135745,29592,7
6067,57814,7
205791,74913,0
14647,19012,10
162079,7749,8
122064,70383,2
169334,12100,10
35855,15663,3
85426,76987,10
42327,80622,6
15842,3950,8
146857,51785,9
220217,18446,1
47895,58331,9
189290,29753,1
28502,74752,6
269570,51105,4
100782,40666,4
108066,77846,10
48695,64101,2
267000,36073,5
36449,79772,2
105355,6106,2
78027,872,2
184397,68581,6
10481,24464,0
135249,19600,9
7923,16899,5
46620,39864,9
42331,55895,10
172923,24321,1
272742,52146,6
263924,21880,4
19980,3062,7
139346,44422,5
262194,54409,5
95855,51478,0
9324,8608,1
26545,17330,8
49270,2607,5
148813,63026,2
253715,67122,4
207656,67972,3
30683,26699,2
162706,76495,7
206748,73993,7
130147,67816,9
202797,17245,3
230476,17672,5
57383,33203,3
278409,675,5
6505,79545,2
29707,37420,5
148830,28887,10
174527,51383,5
179748,78073,8
223767,79938,6
183408,68170,0
21931,28514,4
239502,55138,9
213812,34989,1
206090,18348,3
136330,1918,3
59904,18643,7
131773,35835,4
31275,82146,1
209303,65625,4
66414,78001,4
59529,2727,9
171286,38173,3
270060,54515,2
193948,3843,0
33109,20106,10
112693,11936,3
124120,2131,1
45405,82404,4
182635,28253,6
17438,10149,7
234315,60176,5
5960,8281,1
102774,25751,10
69898,73957,3
258750,34728,8
121467,69210,4
25648,73135,7
2187,4975,4
81990,47812,7
239848,9669,10
40556,48838,6
13313,14528,0
251405,58323,0
160156,14665,6
166702,14239,8
172651,83482,8
106412,24308,3
194088,50668,1
220723,19493,7
148754,82546,6
5478,57757,2
74762,16156,1
96700,35741,7
60726,42846,4
237673,82064,7
278267,41442,7
158845,71924,8
48453,57932,6
26960,42540,4
238211,65273,6
202276,30384,9
79503,13592,8
208962,74702,9
224010,50093,4
163771,70153,3
105774,47848,9
180923,39153,2
56389,2332,0
11306,13685,5
151043,35684,8
50398,29190,3
11763,79821,5
4230,78028,3
13049,21586,9
70862,9420,9
150843,42578,5
218909,32508,10
25266,35868,2
157148,24094,2
133681,54578,9
263096,63294,8
214718,7498,5
142790,46740,6
21293,68006,7
230089,39579,2
9478,24320,4
170579,28522,5
56344,22245,5
130070,32243,0
33953,82703,5
123813,9955,6
86706,15492,3
177221,51777,2
258545,40497,4
247331,60776,9
201073,17798,10
270796,39931,7
157995,31524,10
137860,47328,7
146592,47271,8
47639,45780,10
8336,79607,2
115275,75303,10
109990,1949,3
140932,13493,1
218407,9075,1
157119,75439,3
86870,16984,0
73315,51692,7
204036,3830,9
141598,52615,6
247446,48239,4
108421,14923,4
148584,80154,8
158048,67188,6
70049,26005,8
232173,58639,0
30518,50846,10
278803,58170,3
143301,35636,8
86681,23406,0
273057,60191,0
246694,28250,3
273216,77598,3
33408,63871,8
27943,69652,7
204405,34803,7
200755,57969,3
245740,73222,6
187695,52191,4
93987,77667,3
201222,36669,7
58680,65595,8
23605,66699,3
203054,69820,6
22303,8152,3
185438,47224,2
213651,42896,2
55592,36381,8
214715,511,10
145729,41219,4
45363,57518,5
71015,24850,4
262417,66581,4
232857,7603,0
151282,49251,10
76766,30141,7
116326,35489,7
73582,9031,8
146017,64798,10
49666,56712,1
131192,25331,7
53917,18815,5
213903,35364,1
126539,13913,9
89210,32849,1
143798,16038,1
72889,28947,9
106836,18512,3
47439,35128,7
1744,7235,2
262124,84489,7
252282,10970,1
57867,42671,1
265283,49589,2
100282,69685,2
12892,47464,9
127579,43374,0
89311,40717,8
266999,20169,5
57041,1524,9
87781,81920,8
249105,75745,4
194128,51383,9
2916,2967,3
87777,40277,1
256567,51675,2
111976,51421,1
34087,53777,9
70744,63106,10
96832,5244,2
235084,34551,7
228141,62736,6
126786,9040,5
261830,64676,5
219231,31481,1
137553,33064,8
63608,5510,7
242141,64022,7
15165,83544,7
117766,19718,1
261019,28704,4
147704,1454,1
255764,48741,7
260004,23900,9
107857,30230,0
92117,40720,2
117580,45258,3
21894,23796,2
31169,76396,3
219310,1904,5
102283,5334,1
71471,81358,1
118167,4836,0
127898,40800,7
273098,76881,0
110292,76967,0
266540,18598,6
122074,47636,2
146249,52929,8
23295,39613,8
254630,8112,1
129555,78986,6
183795,19336,8
80428,24321,6
24751,41525,10
130346,7437,6
89704,78896,10
6905,21208,3
28818,45819,0
239560,68185,4
190690,55641,10
100581,78361,6
72674,31236,3
228282,2124,5
73875,12218,1
275905,37350,3
205162,11910,5
255292,3037,4
247145,25144,9
176268,9564,10
189705,37461,5
71286,67366,1
173175,36015,10
39187,57914,1
1632,1734,4
196799,38873,5
246934,33843,7
247561,44988,0
50947,55357,10
76391,68475,5
94205,39024,8
227437,52509,1
176378,52592,3
221745,78202,4
269360,3169,4
187638,84907,8
155527,34409,3
256033,37268,1
170050,22275,7
106660,2089,6
29039,71870,7
111205,23688,4
159517,31454,4
244640,9232,10
164832,68761,5
7639,4070,8
94568,71125,4
156394,27383,4
113014,82002,4
113644,69082,9
257708,43477,8
65190,32126,6
137063,80246,6
207620,35080,5
80336,82981,7
91352,999,2
78787,61114,10
32458,37459,5
172521,58562,5
189917,43906,1
1937,32843,6
270479,10726,0
259512,85132,4
84450,48611,2
218054,32087,1
265208,14708,1
10105,69681,10
73854,79416,2
83259,3874,9
125282,8326,5
183594,81611,5
195220,73918,1
62288,3682,4
128000,14798,10
223270,6,1
175689,36741,6
9456,41767,3
8430,64942,5
16829,56253,0
265915,71859,2
277784,50697,5
101306,65339,9
265568,63218,10
126198,61326,5
149786,80843,2
96562,32131,5
234521,40982,2
31485,37190,5
14556,79977,6
41753,32948,7
77780,34118,6
186289,7831,2
239428,56348,6
122719,82354,1
18820,64496,8
111984,10370,4
66160,57932,6
1817,22712,2
239222,61142,4
178456,53758,3
43108,6006,8
232527,18591,9
57855,65128,0
277851,83823,4
114970,59819,5
107719,67478,1
78736,24557,8
125465,36314,8
249655,9807,10
204267,61763,4
197153,53557,6
249599,34774,7
68505,51170,5
222869,18991,1
31146,76991,6
6805,38989,3
233448,55770,1
117591,23123,0
16075,36577,0
177866,22402,0
53469,65436,6
199947,43469,10
182545,78957,7
37085,19924,8
179167,78528,7
242797,20161,8
33980,69293,1
243275,81772,2
56656,83568,8
113661,78666,10
116250,26770,1
160467,78001,8
275852,17605,7
232178,65205,0
129382,56818,4
147915,15718,10
125793,46783,8
143588,82975,7
193308,67365,8
41148,34,8
178148,8152,0
66770,62989,7
76818,45866,6
113163,51203,1
132494,8739,7
224311,84067,4
276203,30708,0
243773,47832,4
138195,34979,0
205522,2648,4
206622,77866,7
229269,9022,9
48823,50594,3
107421,13130,4
262779,12393,7
256610,63428,6
225258,77558,9
172791,69130,5
85960,61517,4
160149,9884,10
136912,31074,10
214891,25018,9
114299,7961,6
218123,19445,7
142887,6633,8
207680,41032,0
168070,60625,7
171265,64456,2
237624,79972,4
128801,56824,6
176283,74653,10
169511,11888,10
20503,3430,3
57499,38002,5
214784,49089,4
63099,20455,5
33506,19041,5
156674,56260,5
209613,10625,5
208548,59730,6
218828,14546,6
153852,39534,3
166211,71793,10
42249,71390,0
48300,12869,3
72094,13096,6
175368,1197,3
109636,59227,8
23315,9858,9
138931,70605,1
4736,13533,0
268360,32471,3
83895,22373,3
24855,38532,5
232680,63279,4
257653,5670,10
249106,56508,7
90604,14496,10
276258,72243,1
250051,17039,6
72182,6041,5
99035,24012,0
158244,8160,1
